reasoning_topic,topic,main_category
Linear Seating Arrangement,Linear Seating,Puzzles & Seating Arrangements
Circular Seating Arrangement,Circular Seating,Puzzles & Seating Arrangements
Square/Rectangular/Triangular Seating,Special Seating,Puzzles & Seating Arrangements
Floor Based Puzzle,Floor Puzzle,Puzzles & Seating Arrangements
Box Based Puzzle,Box Puzzle,Puzzles & Seating Arrangements
Scheduling Puzzle,Day/Month Puzzle,Puzzles & Seating Arrangements
Multi-Variable Puzzle,Complex Puzzle,Puzzles & Seating Arrangements
Syllogisms,Syllogisms,Verbal & Logical Reasoning
Coding-Decoding,Coding-Decoding,Verbal & Logical Reasoning
Blood Relations,Blood Relations,Verbal & Logical Reasoning
Direction Sense,Direction Sense,Verbal & Logical Reasoning
Inequalities,Inequalities,Verbal & Logical Reasoning
Data Sufficiency,Data Sufficiency,Analytical & Critical Reasoning
Input-Output,Input-Output,Analytical & Critical Reasoning
Statement & Assumption,Statement & Assumption,Analytical & Critical Reasoning
Statement & Inference,Statement & Inference,Analytical & Critical Reasoning
Statement & Course of Action,Statement & Course of Action,Analytical & Critical Reasoning
Strengthening/Weakening Arguments,Strengthen/Weaken,Analytical & Critical Reasoning
Critical Reasoning,Critical Reasoning,Analytical & Critical Reasoning
General Reasoning,General,General Reasoning
